ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,ACK's
501315,1,1,15,22:07:57.488,22:08:08.477,22:08:10.490,22:08:10.490,99
501316,1,1,19,22:07:57.490,22:08:10.477,22:08:12.492,22:08:12.492,0
501308,1,1,22,22:07:57.492,22:08:12.477,22:08:14.494,22:08:14.494,0
501320,1,1,27,22:07:57.494,22:08:14.477,22:08:16.496,22:08:16.496,0
501326,1,1,42,22:07:57.496,22:08:16.477,22:08:18.498,22:08:18.498,0
501317,1,1,47,22:07:57.498,22:08:18.477,22:08:20.500,22:08:20.500,0
501384,1,1,52,22:07:57.500,22:08:20.477,22:08:22.502,22:08:22.502,0
501361,1,1,53,22:07:57.502,22:08:22.477,22:08:24.504,22:08:24.504,0
501357,1,1,61,22:07:57.504,22:08:24.477,22:08:26.506,22:08:26.506,0
501379,1,1,65,22:07:57.506,22:08:26.477,22:08:28.508,22:08:28.508,0
501355,1,1,74,22:07:57.508,22:08:28.477,22:08:30.510,22:08:30.510,0
501354,1,1,77,22:07:57.510,22:08:30.477,22:08:32.512,22:08:32.512,0
501369,1,1,71,22:07:57.512,22:08:32.477,22:08:34.514,22:08:34.514,0
501364,1,1,92,22:07:57.514,22:08:34.477,22:08:36.516,22:08:36.516,0
501386,1,1,111,22:07:57.516,22:08:36.477,22:08:38.518,22:08:38.518,0
501377,1,1,95,22:07:57.518,22:08:38.477,22:08:40.520,22:08:40.520,0
501403,1,1,98,22:07:57.520,22:08:40.477,22:08:42.522,22:08:42.522,0
501372,1,1,108,22:07:57.522,22:08:42.477,22:08:44.524,22:08:44.524,0
501399,1,1,125,22:07:57.524,22:08:44.477,22:08:46.526,22:08:46.526,0
501392,1,1,113,22:07:57.526,22:08:46.477,22:08:49.529,22:08:49.529,0
501421,1,1,128,22:07:57.529,22:08:49.477,22:08:51.531,22:08:51.531,0
501406,1,1,128,22:07:57.531,22:08:51.477,22:08:53.533,22:08:53.533,0
501420,1,1,137,22:07:57.533,22:08:53.477,22:08:55.535,22:08:55.535,0
501390,1,1,158,22:07:57.535,22:08:55.477,22:08:57.537,22:08:57.537,0
501321,1,1,167,22:07:57.537,22:08:57.477,22:08:59.539,22:08:59.539,0
501410,1,1,170,22:07:57.539,22:08:59.477,22:09:01.541,22:09:01.541,0
501367,1,1,178,22:07:57.541,22:09:01.477,22:09:03.543,22:09:03.543,0
501368,1,1,180,22:07:57.543,22:09:03.477,22:09:05.545,22:09:05.545,0
501327,1,1,190,22:07:57.545,22:09:05.477,22:09:07.547,22:09:07.547,0
501311,1,1,199,22:07:57.547,22:09:07.477,22:09:09.549,22:09:09.549,0
501350,1,1,200,22:07:57.549,22:09:09.477,22:09:11.551,22:09:11.551,0
501417,1,1,201,22:07:57.551,22:09:11.477,22:09:13.553,22:09:13.553,0
501306,1,1,210,22:07:57.553,22:09:13.477,22:09:15.555,22:09:15.555,0
501405,1,1,214,22:07:57.555,22:09:15.477,22:09:17.557,22:09:17.557,0
501353,1,1,222,22:07:57.557,22:09:17.477,22:09:19.559,22:09:19.559,0
501323,2,1,31,22:07:57.559,22:09:19.477,22:09:21.561,22:09:21.561,0
501325,2,1,35,22:07:57.561,22:09:21.477,22:09:23.563,22:09:23.563,0
501330,2,1,38,22:07:57.563,22:09:23.477,22:09:25.565,22:09:25.565,0
501329,2,1,45,22:07:57.565,22:09:25.477,22:09:27.567,22:09:27.567,0
501328,2,1,48,22:07:57.567,22:09:27.477,22:09:29.569,22:09:29.569,0
501366,2,1,71,22:07:57.569,22:09:29.477,22:09:31.571,22:09:31.571,0
501358,2,1,81,22:07:57.571,22:09:31.477,22:09:33.573,22:09:33.573,0
501360,2,1,81,22:07:57.573,22:09:33.477,22:09:35.575,22:09:35.575,0
501362,2,1,84,22:07:57.575,22:09:35.477,22:09:37.577,22:09:37.577,0
501389,2,1,102,22:07:57.577,22:09:37.477,22:09:39.579,22:09:39.579,0
501415,2,1,117,22:07:57.579,22:09:39.477,22:09:41.581,22:09:41.581,0
501349,2,1,108,22:07:57.581,22:09:41.477,22:09:43.583,22:09:43.583,0
501371,2,1,162,22:07:57.583,22:09:43.477,22:09:45.585,22:09:45.585,0
501391,2,1,104,22:07:57.585,22:09:45.477,22:09:47.587,22:09:47.587,0
501397,2,1,121,22:07:57.587,22:09:47.477,22:09:49.589,22:09:49.589,0
501413,2,1,131,22:07:57.589,22:09:49.477,22:09:51.591,22:09:51.591,0
501393,2,1,139,22:07:57.591,22:09:51.477,22:09:53.593,22:09:53.593,0
501419,2,1,147,22:07:57.593,22:09:53.477,22:09:55.595,22:09:55.595,0
501412,2,1,152,22:07:57.595,22:09:55.477,22:09:57.597,22:09:57.597,0
501381,2,1,159,22:07:57.597,22:09:57.477,22:09:59.599,22:09:59.599,0
501385,2,1,88,22:07:57.599,22:09:59.477,22:10:01.601,22:10:01.601,0
501307,2,1,164,22:07:57.601,22:10:01.477,22:10:03.603,22:10:03.603,0
501332,2,1,173,22:07:57.603,22:10:03.477,22:10:05.605,22:10:05.605,0
501314,2,1,174,22:07:57.605,22:10:05.477,22:10:07.607,22:10:07.607,0
501376,2,1,186,22:07:57.607,22:10:07.477,22:10:09.609,22:10:09.609,0
501365,2,1,190,22:07:57.609,22:10:09.477,22:10:11.611,22:10:11.611,0
501370,2,1,191,22:07:57.611,22:10:11.477,22:10:13.613,22:10:13.613,0
501388,2,1,205,22:07:57.613,22:10:13.477,22:10:15.615,22:10:15.615,0
501375,2,1,212,22:07:57.615,22:10:15.477,22:10:17.617,22:10:17.617,0
501395,2,1,213,22:07:57.617,22:10:17.477,22:10:19.619,22:10:19.619,0
501331,3,1,21,22:07:57.619,22:10:19.477,22:10:21.621,22:10:21.621,99
501312,3,1,15,22:07:57.620,22:10:20.477,22:10:22.622,22:10:22.622,99
501324,3,1,25,22:07:57.621,22:10:21.477,22:10:23.623,22:10:23.623,0
501322,3,1,30,22:07:57.622,22:10:22.477,22:10:24.624,22:10:24.624,0
501319,3,1,40,22:07:57.623,22:10:23.477,22:10:25.625,22:10:25.625,0
501356,3,1,53,22:07:57.624,22:10:24.477,22:10:26.626,22:10:26.626,0
501378,3,1,54,22:07:57.625,22:10:25.477,22:10:27.627,22:10:27.627,0
501380,3,1,56,22:07:57.626,22:10:26.477,22:10:28.628,22:10:28.628,0
501359,3,1,60,22:07:57.627,22:10:27.477,22:10:29.629,22:10:29.629,0
501348,3,1,65,22:07:57.628,22:10:28.477,22:10:31.631,22:10:31.631,0
501383,3,1,69,22:07:57.629,22:10:29.477,22:10:31.631,22:10:31.631,0
501352,3,1,86,22:07:57.631,22:10:31.477,22:10:33.633,22:10:33.633,0
501398,3,1,106,22:07:57.631,22:10:31.477,22:10:33.633,22:10:33.633,0
501411,3,1,128,22:07:57.633,22:10:33.477,22:10:35.635,22:10:35.635,0
501382,3,1,96,22:07:57.633,22:10:33.477,22:10:35.635,22:10:35.635,0
501394,3,1,129,22:07:57.635,22:10:35.477,22:10:37.637,22:10:37.637,0
501422,3,1,131,22:07:57.635,22:10:35.477,22:10:37.637,22:10:37.637,0
501347,3,1,135,22:07:57.637,22:10:37.477,22:10:39.639,22:10:39.639,0
501387,3,1,142,22:07:57.637,22:10:37.477,22:10:39.639,22:10:39.639,0
501404,3,1,143,22:07:57.639,22:10:39.477,22:10:41.641,22:10:41.641,0
501408,3,1,152,22:07:57.639,22:10:39.477,22:10:41.641,22:10:41.641,0
501407,3,1,154,22:07:57.641,22:10:41.477,22:10:43.643,22:10:43.643,0
501402,3,1,157,22:07:57.641,22:10:41.477,22:10:43.643,22:10:43.643,0
501374,3,1,161,22:07:57.643,22:10:43.477,22:10:45.645,22:10:45.645,0
501401,3,1,148,22:07:57.643,22:10:43.477,22:10:45.645,22:10:45.645,0
501373,3,1,179,22:07:57.645,22:10:45.477,22:10:47.647,22:10:47.647,0
501409,3,1,181,22:07:57.645,22:10:45.477,22:10:47.647,22:10:47.647,0
501418,3,1,182,22:07:57.647,22:10:47.477,22:10:49.649,22:10:49.649,0
501416,3,1,183,22:07:57.647,22:10:47.477,22:10:49.649,22:10:49.649,0
501310,3,1,186,22:07:57.649,22:10:49.477,22:10:51.651,22:10:51.651,0
501351,3,1,195,22:07:57.649,22:10:49.477,22:10:51.651,22:10:51.651,0
501414,3,1,199,22:07:57.651,22:10:51.477,22:10:53.653,22:10:53.653,0
501396,3,1,209,22:07:57.651,22:10:51.477,22:10:53.653,22:10:53.653,0
501313,3,1,218,22:07:57.653,22:10:53.477,22:10:55.655,00:00:00.0,0
